transaction_dt,financial_entity_name,bank_account_id,transaction_currency_code,transaction_amount,account_reference_number,Cash Flow Category,Cash Flow Main 1,Cash Flow Main 2,Cash Flow Main 3,Cash Flow Main 4
02/04/2024,RandomValue0,RandomValue0,USD,612.9237982,3299779167,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue1,RandomValue1,USD,221.1276916,3299779167,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue2,RandomValue2,USD,376.7325735,3299779167,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue3,RandomValue3,USD,873.4054334,3299779167,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue4,RandomValue4,USD,173.4902867,3299779167,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue5,RandomValue5,USD,109.9838947,3299779167,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue6,RandomValue6,USD,363.9323361,3299999112,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue7,RandomValue7,USD,660.968117,3299999112,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue8,RandomValue8,USD,454.1875208,3359874552,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue9,RandomValue9,USD,189.5968281,3359874552,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue10,RandomValue10,USD,373.0070989,3359874552,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue11,RandomValue11,USD,996.8505289,3359874552,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue12,RandomValue12,USD,535.7265367,3359874552,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue13,RandomValue13,USD,86.95528485,3359874552,Transfer,Intercompany Transfers,Intercompany Transfers,Transfers,Transfers
02/04/2024,RandomValue14,RandomValue14,USD,115.0252578,8188503788,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue15,RandomValue15,USD,227.7558251,8188793788,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue16,RandomValue16,USD,920.3994017,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue17,RandomValue17,USD,224.8785482,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue18,RandomValue18,USD,604.041875,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue19,RandomValue19,USD,37.88679002,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue20,RandomValue20,USD,136.6806477,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue21,RandomValue21,USD,158.7242544,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue22,RandomValue22,USD,21.1235026,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue23,RandomValue23,USD,558.7398499,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue24,RandomValue24,USD,814.6637027,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue25,RandomValue25,USD,777.2194391,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue26,RandomValue26,USD,41.81456781,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue27,RandomValue27,USD,48.66102822,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue28,RandomValue28,USD,715.7096429,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue29,RandomValue29,USD,229.5305877,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue30,RandomValue30,USD,931.0128734,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue31,RandomValue31,USD,261.8145247,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue32,RandomValue32,USD,825.4817776,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue33,RandomValue33,USD,54.9911396,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue34,RandomValue34,USD,856.0111095,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue35,RandomValue35,USD,843.7706969,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue36,RandomValue36,USD,106.5014322,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue37,RandomValue37,USD,700.2678316,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue38,RandomValue38,USD,413.1278037,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue39,RandomValue39,USD,885.8908874,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue40,RandomValue40,USD,27.26976894,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue41,RandomValue41,USD,165.7151704,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue42,RandomValue42,USD,696.6302275,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue43,RandomValue43,USD,14.39756748,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue44,RandomValue44,USD,272.9165835,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue45,RandomValue45,USD,164.2839754,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue46,RandomValue46,USD,139.2564776,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue47,RandomValue47,USD,189.7254318,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue48,RandomValue48,USD,77.87318164,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue49,RandomValue49,USD,283.9455682,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue50,RandomValue50,USD,963.8928416,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue51,RandomValue51,USD,584.8763281,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue52,RandomValue52,USD,536.0633576,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue53,RandomValue53,USD,22.61748242,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue54,RandomValue54,USD,585.2937978,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue55,RandomValue55,USD,519.5918771,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue56,RandomValue56,USD,433.4739527,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue57,RandomValue57,USD,74.37757288,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue58,RandomValue58,USD,446.9584303,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue59,RandomValue59,USD,942.4247447,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue60,RandomValue60,USD,432.7962377,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue61,RandomValue61,USD,542.7685472,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue62,RandomValue62,USD,477.548251,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue63,RandomValue63,USD,249.1213071,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue64,RandomValue64,USD,437.5845049,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue65,RandomValue65,USD,700.4962405,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue66,RandomValue66,USD,89.20438325,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue67,RandomValue67,USD,374.6195561,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue68,RandomValue68,USD,852.1610525,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue69,RandomValue69,USD,502.8685838,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue70,RandomValue70,USD,723.2131311,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue71,RandomValue71,USD,920.0595782,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
02/04/2024,RandomValue72,RandomValue72,USD,223.4164741,3299999104,Operating expenditure,AP,AP,Operating cashflow,Cash flows
